,PopulationChange,YearlyChange,NetChange,Density(P/Km?),Land Area(Km?),Migrants(net),Fert.Rate,Med.Age,UrbanPop %,WorldShare
China,1439323776.00 ,0.003900000 ,5540090.00 ,153.00 ,9388211.00 ,-348399.00 ,1.70 ,38.00 ,0.61 ,0.18 
India,1380004385.00 ,0.009900000 ,13586631.00 ,464.00 ,2973190.00 ,-532687.00 ,2.20 ,28.00 ,0.35 ,0.18 
United States,331002651.00 ,0.005900000 ,1937734.00 ,36.00 ,9147420.00 ,954806.00 ,1.80 ,38.00 ,0.83 ,0.04 
Indonesia,273523615.00 ,0.010700000 ,2898047.00 ,151.00 ,1811570.00 ,-98955.00 ,2.30 ,30.00 ,0.56 ,0.04 
Pakistan,220892340.00 ,0.020000000 ,4327022.00 ,287.00 ,770880.00 ,-233379.00 ,3.60 ,23.00 ,0.35 ,0.03 
Brazil,212559417.00 ,0.007200000 ,1509890.00 ,25.00 ,8358140.00 ,21200.00 ,1.70 ,33.00 ,0.88 ,0.03 
Nigeria,206139589.00 ,0.025800000 ,5175990.00 ,226.00 ,910770.00 ,-60000.00 ,5.40 ,18.00 ,0.52 ,0.03 
Bangladesh,164689383.00 ,0.010100000 ,1643222.00 ,1265.00 ,130170.00 ,-369501.00 ,2.10 ,28.00 ,0.39 ,0.02 
Russia,145934462.00 ,0.000400000 ,62206.00 ,9.00 ,16376870.00 ,182456.00 ,1.80 ,40.00 ,0.74 ,0.02 
Mexico,128932753.00 ,0.010600000 ,1357224.00 ,66.00 ,1943950.00 ,-60000.00 ,2.10 ,29.00 ,0.84 ,0.02 
Japan,126476461.00 ,-0.003000000 ,-383840.00 ,347.00 ,364555.00 ,71560.00 ,1.40 ,48.00 ,0.92 ,0.02 
Ethiopia,114963588.00 ,0.025700000 ,2884858.00 ,115.00 ,1000000.00 ,30000.00 ,4.30 ,19.00 ,0.21 ,0.01 
Philippines,109581078.00 ,0.013500000 ,1464463.00 ,368.00 ,298170.00 ,-67152.00 ,2.60 ,26.00 ,0.47 ,0.01 
Egypt,102334404.00 ,0.019400000 ,1946331.00 ,103.00 ,995450.00 ,-38033.00 ,3.30 ,25.00 ,0.43 ,0.01 
Vietnam,97338579.00 ,0.009100000 ,876473.00 ,314.00 ,310070.00 ,-80000.00 ,2.10 ,32.00 ,0.38 ,0.01 
DR Congo,89561403.00 ,0.031900000 ,2770836.00 ,40.00 ,2267050.00 ,23861.00 ,6.00 ,17.00 ,0.46 ,0.01 
Turkey,84339067.00 ,0.010900000 ,909452.00 ,110.00 ,769630.00 ,283922.00 ,2.10 ,32.00 ,0.76 ,0.01 
Iran,83992949.00 ,0.013000000 ,1079043.00 ,52.00 ,1628550.00 ,-55000.00 ,2.20 ,32.00 ,0.76 ,0.01 
Germany,83783942.00 ,0.003200000 ,266897.00 ,240.00 ,348560.00 ,543822.00 ,1.60 ,46.00 ,0.76 ,0.01 
Thailand,69799978.00 ,0.002500000 ,174396.00 ,137.00 ,510890.00 ,19444.00 ,1.50 ,40.00 ,0.51 ,0.01 
United Kingdom,67886011.00 ,0.005300000 ,355839.00 ,281.00 ,241930.00 ,260650.00 ,1.80 ,40.00 ,0.83 ,0.01 
France,65273511.00 ,0.002200000 ,143783.00 ,119.00 ,547557.00 ,36527.00 ,1.90 ,42.00 ,0.82 ,0.01 
Italy,60461826.00 ,-0.001500000 ,-88249.00 ,206.00 ,294140.00 ,148943.00 ,1.30 ,47.00 ,0.69 ,0.01 
Tanzania,59734218.00 ,0.029800000 ,1728755.00 ,67.00 ,885800.00 ,-40076.00 ,4.90 ,18.00 ,0.37 ,0.01 
South Africa,59308690.00 ,0.012800000 ,750420.00 ,49.00 ,1213090.00 ,145405.00 ,2.40 ,28.00 ,0.67 ,0.01 
Myanmar,54409800.00 ,0.006700000 ,364380.00 ,83.00 ,653290.00 ,-163313.00 ,2.20 ,29.00 ,0.31 ,0.01 
Kenya,53771296.00 ,0.022800000 ,1197323.00 ,94.00 ,569140.00 ,-10000.00 ,3.50 ,20.00 ,0.28 ,0.01 
South Korea,51269185.00 ,0.000900000 ,43877.00 ,527.00 ,97230.00 ,11731.00 ,1.10 ,44.00 ,0.82 ,0.01 
Colombia,50882891.00 ,0.010800000 ,543448.00 ,46.00 ,1109500.00 ,204796.00 ,1.80 ,31.00 ,0.80 ,0.01 
Spain,46754778.00 ,0.000400000 ,18002.00 ,94.00 ,498800.00 ,40000.00 ,1.30 ,45.00 ,0.80 ,0.01 
Uganda,45741007.00 ,0.033200000 ,1471413.00 ,229.00 ,199810.00 ,168694.00 ,5.00 ,17.00 ,0.26 ,0.01 
Argentina,45195774.00 ,0.009300000 ,415097.00 ,17.00 ,2736690.00 ,4800.00 ,2.30 ,32.00 ,0.93 ,0.01 
Algeria,43851044.00 ,0.018500000 ,797990.00 ,18.00 ,2381740.00 ,-10000.00 ,3.10 ,29.00 ,0.73 ,0.01 
Sudan,43849260.00 ,0.024200000 ,1036022.00 ,25.00 ,1765048.00 ,-50000.00 ,4.40 ,20.00 ,0.35 ,0.01 
Ukraine,43733762.00 ,-0.005900000 ,-259876.00 ,75.00 ,579320.00 ,10000.00 ,1.40 ,41.00 ,0.69 ,0.01 
Iraq,40222493.00 ,0.023200000 ,912710.00 ,93.00 ,434320.00 ,7834.00 ,3.70 ,21.00 ,0.73 ,0.01 
Afghanistan,38928346.00 ,0.023300000 ,886592.00 ,60.00 ,652860.00 ,-62920.00 ,4.60 ,18.00 ,0.25 ,0.01 
Poland,37846611.00 ,-0.001100000 ,-41157.00 ,124.00 ,306230.00 ,-29395.00 ,1.40 ,42.00 ,0.60 ,0.00 
Canada,37742154.00 ,0.008900000 ,331107.00 ,4.00 ,9093510.00 ,242032.00 ,1.50 ,41.00 ,0.81 ,0.00 
Morocco,36910560.00 ,0.012000000 ,438791.00 ,83.00 ,446300.00 ,-51419.00 ,2.40 ,30.00 ,0.64 ,0.00 
Saudi Arabia,34813871.00 ,0.015900000 ,545343.00 ,16.00 ,2149690.00 ,134979.00 ,2.30 ,32.00 ,0.84 ,0.00 
Uzbekistan,33469203.00 ,0.014800000 ,487487.00 ,79.00 ,425400.00 ,-8863.00 ,2.40 ,28.00 ,0.50 ,0.00 
Peru,32971854.00 ,0.014200000 ,461401.00 ,26.00 ,1280000.00 ,99069.00 ,2.30 ,31.00 ,0.79 ,0.00 
