,總計,男,女
總計,1871224.00 ,931945.00 ,939279.00 
新營區,76209.00 ,37619.00 ,38590.00 
鹽水區,24943.00 ,12998.00 ,11945.00 
白河區,27095.00 ,14150.00 ,12945.00 
柳營區,20780.00 ,10806.00 ,9974.00 
後壁區,22628.00 ,11723.00 ,10905.00 
東山區,19993.00 ,10656.00 ,9337.00 
麻豆區,43666.00 ,22164.00 ,21502.00 
下營區,23326.00 ,12059.00 ,11267.00 
六甲區,21590.00 ,11173.00 ,10417.00 
官田區,21164.00 ,10763.00 ,10401.00 
大內區,9154.00 ,4937.00 ,4217.00 
佳里區,58706.00 ,28985.00 ,29721.00 
學甲區,25202.00 ,12907.00 ,12295.00 
西港區,24519.00 ,12383.00 ,12136.00 
七股區,22072.00 ,11445.00 ,10627.00 
將軍區,18973.00 ,9663.00 ,9310.00 
北門區,10511.00 ,5270.00 ,5241.00 
新化區,43162.00 ,21912.00 ,21250.00 
善化區,50961.00 ,25676.00 ,25285.00 
新市區,37695.00 ,18891.00 ,18804.00 
安定區,30294.00 ,15605.00 ,14689.00 
山上區,7074.00 ,3727.00 ,3347.00 
玉井區,13518.00 ,6996.00 ,6522.00 
楠西區,9124.00 ,4802.00 ,4322.00 
南化區,8329.00 ,4497.00 ,3832.00 
左鎮區,4526.00 ,2558.00 ,1968.00 
仁德區,76127.00 ,38459.00 ,37668.00 
歸仁區,68122.00 ,34422.00 ,33700.00 
關廟區,33995.00 ,17424.00 ,16571.00 
龍崎區,3736.00 ,2026.00 ,1710.00 
永康區,235451.00 ,115582.00 ,119869.00 
東區,184310.00 ,88040.00 ,96270.00 
南區,123166.00 ,60729.00 ,62437.00 
北區,129444.00 ,62719.00 ,66725.00 
安南區,196034.00 ,98558.00 ,97476.00 
安平區,67237.00 ,31834.00 ,35403.00 
中西區,78388.00 ,37787.00 ,40601.00 
